,Ranking,Nombre,Empresa,Fecha,Genero,Ventas_Globales,Contador
0,119,Gears of War 2,Microsoft,2008,Disparos,6.76,28
1,99,Call of Duty: World at War,Microsoft,2008,Disparos,7.37,3
2,52,Grand Theft Auto IV,Microsoft,2008,Accion,11.02,7
3,161,Forza Motorsport 3,Microsoft,2009,Carreras,5.51,1
4,134,Halo 3: ODST,Microsoft,2009,Disparos,6.36,16
5,37,Call of Duty: Modern Warfare 2,Microsoft,2009,Disparos,13.51,21
6,63,Halo: Reach,Microsoft,2010,Disparos,9.88,150
7,32,Call of Duty: Black Ops,Microsoft,2010,Disparos,14.64,411
8,16,Kinect Adventures!,Microsoft,2010,Etc,21.82,0
9,100,Battlefield 3,Microsoft,2011,Disparos,7.34,288
10,76,The Elder Scrolls V: Skyrim,Microsoft,2011,Rol,8.84,11
11,30,Call of Duty: Modern Warfare 3,Microsoft,2011,Disparos,14.76,12
12,173,Assassin's Creed III,Microsoft,2012,Accion,5.3,9
13,66,Halo 4,Microsoft,2012,Disparos,9.76,131
14,36,Call of Duty: Black Ops II,Microsoft,2012,Disparos,13.73,5
15,73,Minecraft,Microsoft,2013,Etc,9.2,30879
16,62,Call of Duty: Ghosts,Microsoft,2013,Disparos,10.21,30
17,24,Grand Theft Auto V,Microsoft,2013,Accion,16.38,627
18,258,Call of Duty: Advanced Warfare,Microsoft,2014,Disparos,4.31,11
19,198,Grand Theft Auto V,Microsoft,2014,Accion,5.08,627
20,194,Call of Duty: Advanced Warfare,Microsoft,2014,Disparos,5.13,11
21,288,Fallout 4,Microsoft,2015,Rol,4.09,170
22,261,Halo 5: Guardians,Microsoft,2015,Disparos,4.26,8
23,102,Call of Duty: Black Ops 3,Microsoft,2015,Disparos,7.3,10
24,2446,Overwatch,Microsoft,2016,Disparos,0.85,4445
25,1226,FIFA 17,Microsoft,2016,Deportes,1.53,334
26,847,Tom Clancy's The Division,Microsoft,2016,Disparos,2.01,49
27,149,LittleBigPlanet,Sony,2008,Plataformas,5.92,9
28,145,Metal Gear Solid 4: Guns of the Patriots,Sony,2008,Accion,6.03,0
29,57,Grand Theft Auto IV,Sony,2008,Accion,10.57,7
30,157,Assassin's Creed II,Sony,2009,Accion,5.57,13
31,120,Uncharted 2: Among Thieves,Sony,2009,Accion,6.73,3
32,56,Call of Duty: Modern Warfare 2,Sony,2009,Disparos,10.69,21
